os,cpu,gpu,ram,kernel,driver,cpuscheduler
Arch Linux,AMD Ryzen 7 5700X 8-Core Processor,AMD Radeon RX 7900 GRE (RADV NAVI31),49249932,6.11.9-arch1-1,,performance
fps,frametime,cpu_load,gpu_load,cpu_temp,gpu_temp,gpu_core_clock,gpu_mem_clock,gpu_vram_used,gpu_power,ram_used,swap_used,process_rss,elapsed
120.613,8.29096,13.9064,100,49,57,2229,1230,4.73222,243,3.15065,0,0.0378876,3344720954
121.178,8.25235,11.8227,99,49,57,2243,1230,4.73222,244,3.15437,0,0.0378876,3444802206
121.538,8.22785,11.8227,99,49,57,2243,1230,4.73222,244,3.15437,0,0.0378876,3544877518
120.572,8.29383,11.8227,99,49,57,2243,1230,4.73222,244,3.15437,0,0.0378876,3644961731
122.532,8.16116,11.8227,99,49,57,2243,1230,4.73222,244,3.15437,0,0.0378876,3745037123
121.776,8.21182,11.8227,99,49,57,2243,1230,4.73222,244,3.15437,0,0.0378876,3845112105
118.055,8.47063,9.86094,100,49,58,2220,1230,4.73222,243,3.15454,0,0.0378876,3945190018
121.052,8.26089,9.86094,100,49,58,2220,1230,4.73222,243,3.15454,0,0.0378876,4045268380
120.623,8.29026,9.86094,100,49,58,2220,1230,4.73222,243,3.15454,0,0.0378876,4145347022
120.135,8.32398,9.86094,100,49,58,2220,1230,4.73222,243,3.15454,0,0.0378876,4245422045
120.115,8.32538,9.86094,100,49,58,2220,1230,4.73222,243,3.15454,0,0.0378876,4345500487
121.192,8.2514,12.1921,100,48,58,2222,1230,4.73222,244,3.15118,0,0.0378876,4445583520
121.15,8.25422,12.1921,100,48,58,2222,1230,4.73222,244,3.15118,0,0.0378876,4545660452
120.354,8.30881,12.1921,100,48,58,2222,1230,4.73222,244,3.15118,0,0.0378876,4645740694
120.239,8.31676,12.1921,100,48,58,2222,1230,4.73222,244,3.15118,0,0.0378876,4745820507
122.15,8.18664,12.1921,100,48,58,2222,1230,4.73222,244,3.15118,0,0.0378876,4845908269
